section_name,section_code,app_name_full,app_name_abbrev,app_status,decommission_date,pkg_ns,patch_ver,patch_ver_major,patch_ver_minor,patch_num,patch_id,patch_id_full,multi_ns,group_key,doc_code,doc_label,doc_layer,doc_labelling,doc_title,doc_filename,doc_slug,doc_format,doc_subject,noise_type,app_url,doc_url,companion_url
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1057,DG*5.3*1057,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1057 Deployment, Installation, Back-Out, and Rollback Guide",dg_5_3_1057_dibr.docx,dg_5_3_1057_dibr,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1057_dibr.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1057_dibr.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1057,DG*5.3*1057,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1057 Deployment, Installation, Back-Out, and Rollback Guide",dg_5_3_1057_dibr.pdf,dg_5_3_1057_dibr,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1057_dibr.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1057_dibr.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1064,DG*5.3*1064,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1064 Release Notes,dg_5_3_p1064_rn.docx,dg_5_3_p1064_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1064_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1064_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1064,DG*5.3*1064,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1064 Release Notes,dg_5_3_p1064_rn.pdf,dg_5_3_p1064_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1064_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1064_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1067,DG*5.3*1067,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1067 Release Notes,dg_5_3_p1067_rn.docx,dg_5_3_p1067_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1067_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1067_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1067,DG*5.3*1067,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1067 Release Notes,dg_5_3_p1067_rn.pdf,dg_5_3_p1067_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1067_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1067_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1075,DG*5.3*1075,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1075 Release Notes,dg_5_3_1075_rn.docx,dg_5_3_1075_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1075_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1075_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1075,DG*5.3*1075,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1075 Release Notes,dg_5_3_1075_rn.pdf,dg_5_3_1075_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1075_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1075_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1080,DG*5.3*1080,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1080 Deployment, Installation, Back-Out, and Rollback Guide",dg_5_3_p1080_dibr.docx,dg_5_3_p1080_dibr,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1080_dibr.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1080_dibr.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1080,DG*5.3*1080,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1080 Deployment, Installation, Back-Out, and Rollback Guide",dg_5_3_p1080_dibr.pdf,dg_5_3_p1080_dibr,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1080_dibr.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1080_dibr.docx
